"sleepcompanion","78aac115-0000-0000-3187-5cd2ee9e95f2","2019-02-01T03:46:29.271Z"
"#","question id","question type","question title","answer type","answer","next questions"
"1","email","EMAIL","Email Address","custom","email:testemail@test.de:0:0:0:0:0:0:0:","password1"
"2","password1","PASSWORD","Password","generic","password1:mypassword:0:0:0:0:0:0:0:","password2"
"3","password2","PASSWORD","Confirm Password","generic","password2:mypassword:0:0:0:0:0:0:0:","beforeStartingSurvey"
"4","beforeStartingSurvey","HIDDEN","Please answer the following important questions before commencing the survey...","generic","beforeStartingSurvey:hidden value:0:0:0:0:0:0:0:","MedicalConditions"
"5","MedicalConditions","SINGLECHOICE","Are you currently under the care of a physician for depression and/or anxiety?","generic","MedicalConditions:Yes:0:0:0:0:0:0:0:","Medication"
"6","Medication","SINGLECHOICE","Are you currently taking prescription medications that may cause you to be drowsy during the day","generic","Medication:Yes:0:0:0:0:0:0:0:","RestlessLegs"
"7","RestlessLegs","SINGLECHOICE","Do you regularly experience unpleasant sensations in your legs that cause an urge to move your legs predominantly occurring in the evening or at night?","generic","RestlessLegs:Yes:0:0:0:0:0:0:0:","disclaimer"
"8","disclaimer","HIDDEN","The SleepBetter Survey is designed to determine if adults suffer from one or more common sleep disorders and to help them manage their sleep problems - it does not apply to infants or children.
 The SleepBetter Survey may recommend treatments for sleep problems that may not provide optimal results for people who have a serious medical condition known to disturb sleep such as heart failure, poorly controlled asthma or severe lung disease, end stage kidney disease requiring renal dialysis, severe pain requiring daily opioid medication, cancer on chemotherapy, severe depression or anxiety.
 If you suffer from any of these conditions please consult a doctor before implementing any sleep improvement measures.","generic","disclaimer:hidden value:0:0:0:0:0:0:0:","Sex"
"9","Sex","SINGLECHOICE","What is your Sex?","generic","Sex:Female:0:0:0:0:0:0:0:","Age"
"10","Age","INT","What is your current Age?","generic","Age::42:0:0:0:0:0:0:years","Occupation"
"11","Occupation","SINGLECHOICE","What is your main type of occupation?","generic","Occupation:Manager:0:0:0:0:0:0:0:","WorkHoursPerWeek"
"12","WorkHoursPerWeek","INT","How many hours do you usually work per week?","generic","WorkHoursPerWeek::42:0:0:0:0:0:0:hours","StudyHoursPerWeek"
"13","StudyHoursPerWeek","INT","How many hours do you usually study per week?","generic","StudyHoursPerWeek::42:0:0:0:0:0:0:hours","BedPartner"
"14","BedPartner","SINGLECHOICE","Do you have a bed partner or room mate?","generic","BedPartner:No:0:0:0:0:0:0:0:","ShiftWorker"
"15","ShiftWorker","SINGLECHOICE","Are you a shift worker?","generic","ShiftWorker:Yes:0:0:0:0:0:0:0:","ShiftHowMany__0"
"16","ShiftHowMany__0","HIDDEN","How many different types of shifts have you worked in the past month?","generic","ShiftHowMany__0:hidden value:0:0:0:0:0:0:0:","Shift_Morning__0"
"17","Shift_Morning__0","CHECKBOX","Morning (start before 8am)","generic","Shift_Morning__0:Checked:0:0:0:0:0:0:0:","Shift_Afternoon__0"
"18","Shift_Afternoon__0","CHECKBOX","Afternoon/Evening (start after 2pm)","generic","Shift_Afternoon__0:Checked:0:0:0:0:0:0:0:","Shift_Night__0"
"19","Shift_Night__0","CHECKBOX","Night (at least 6h on duty between 22:00 and 08:00)","generic","Shift_Night__0:Checked:0:0:0:0:0:0:0:","Shift_Extended__0"
"20","Shift_Extended__0","CHECKBOX","Extended duration (longer than 12 hours)","generic","Shift_Extended__0:Checked:0:0:0:0:0:0:0:","Shift_Frequency"
"21","Shift_Frequency","CHECKBOX","How many shifts have you worked over the past month","generic","Shift_Frequency:1-5 shifts a month:0:0:0:0:0:0:0:","ProblemSleeping__1"
"22","ProblemSleeping__1","HIDDEN","How severely do you experience any of the following Sleep Problems?","generic","ProblemSleeping__1:hidden value:0:0:0:0:0:0:0:","Problem_Sleep__1"
"23","Problem_Sleep__1","SINGLECHOICE","I find it difficult to fall asleep, stay asleep or wake up too early","generic","Problem_Sleep__1:0.0:0:0:0:0:0:0:0:","Problem_Sleepiness__1"
"24","Problem_Sleepiness__1","SINGLECHOICE","I experience sleepiness which affects my daily work and/or family life","generic","Problem_Sleepiness__1:0.0:0:0:0:0:0:0:0:","Problem_MySnoring__1"
"25","Problem_MySnoring__1","SINGLECHOICE","My snoring disturbs others or my own sleep?","generic","Problem_MySnoring__1:0.0:0:0:0:0:0:0:0:","Problem_PartnerSnoring__1"
"26","Problem_PartnerSnoring__1","SINGLECHOICE","My partner/ room mate has a snoring problem that disturbs my sleep","generic","Problem_PartnerSnoring__1:0.0:0:0:0:0:0:0:0:","SleepUnlisted"
"27","SleepUnlisted","TEXT","Do you experience any Sleep Problems not listed above?","generic","SleepUnlisted:Answer text:0:0:0:0:0:0:0:","ConfirmProceedS1"
"28","ConfirmProceedS1","CHECKBOX","Your responses indicate that you only have a￿￿mild problem with sleep habits, would you like to continue with a detailed assessment?","generic","ConfirmProceedS1:Skip this one:0:0:0:0:0:0:0:","TotalSleepTime__2"
